,name,rating,reviews,domain,location,years_old,employee_strength,tags,about
0,TCS,4.0,(17.7k),Public,"Mumbai,Maharashtra + 165 more",52 years old,,"IT Services & Consulting, Fortune500, Forbes Global 2000, Public","Tata Consultancy Services is an IT services, consulting and business solutions organisation that has been partnering with the world’s largest businesses in their transformation journeys for the last 50 years. 

A part of the Tata group, India's largest multinational business group, TCS has over 436,000 of the world’s best-trained consultants in 46 countries. The company is listed on the BSE (formerly Bombay Stock Exchange) and the NSE (National Stock Exchange) in India. 

TCS'​ proactive stance on climate change and award winning work with communities across the world have earned it a place in leading sustainability indices such as the Dow Jones Sustainability Index (DJSI), MSCI Global Sustainability Index and the FTSE4Good Emerging Index."
1,Accenture,4.0,(15.5k),Private,Dublin + 95 more,31 years old,10000+ employees,"Consulting, IT / ITES, MNC, Forbes Global 2000","Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions – underpinned by the world’s largest delivery network – Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 449,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com."
2,ICICI Bank,4.1,(14.3k),Public,Mumbai + 728 more,26 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, MNC, Fortune500, Forbes Global 2000, Public, Mumbai","ICICI Bank is India's largest private sector bank with total consolidated assets of Rs. 11,242.81 billion (US$ 172.5 billion) at March 31, 2018 and profit after tax of Rs. 67.77 billion (US$ 1.0 billion) for the year ended March 31, 2018. 

ICICI Bank currently has a network of 4,867 Branches and 14,367 ATMs across India.

ICICI Bank offers a wide range of banking products and financial services to corporate and retail customers through a variety of delivery channels and through its specialised subsidiaries in the areas of investment banking, life and non-life insurance, venture capital and asset management."
3,Cognizant,3.9,(13.3k),Private,Teaneck + 48 more,26 years old,10000+ employees,"IT / ITES, MNC, Forbes Global 2000","Cognizant (NASDAQ-100: CTSH) is one of the world’s leading professional services companies,
transforming clients’ business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps many of the best-known organizations in every industry and geography envision, build and run more innovative and efficient businesses.
Founded in 1994 as a technology development arm of The Dun & Bradstreet Corporation, we were spun off as an independent company in 1996, and have worked closely with large organizations to help them build stronger businesses ever since. Today, Cognizant specializes in helping some of the world’s most established companies to stay the most loved brands in today’s fast-changing technology landscape by advancing every aspect of how they serve their customers: digitizing their products, services and customer experiences; automating their business processes; and modernizing their technology infrastructures"
4,HDFC Bank,4.0,(12.5k),Public,"Mumbai,Maharashtra + 726 more",26 years old,,"Financial Services, Banking, Insurance, Fortune500, Forbes Global 2000, Public","HDFC Bank is one of India’s leading private banks and was among the first to receive approval from the Reserve Bank of India (RBI) to set up a private sector bank in 1994.

Today, HDFC Bank has a banking network of 5,314 branches and 13,640  ATMs spread across 2,768 cities and towns.

HDFC Bank offers a diverse range of financial products and banking services to customers through a growing branch and ATM network and digital channels such as Netbanking, Phonebanking and MobileBanking."
5,Capgemini,3.4,(10.3k),Private,Paris + 47 more,53 years old,10000+ employees,"Computer Software, Consulting, Internet, IT / ITES, Analytics / BPM / Research, MNC, Forbes Global 2000","Capgemini is a global leader in consulting, digital transformation, technology and engineering services. The Group is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50-year+ heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. Today, it is a multicultural company of 270,000 team members in almost 50 countries. With Altran, the Group reported 2019 combined revenues of €17billion.

Visit us at www.capgemini.com. People matter, results count."
6,Tech Mahindra,3.6,(10.2k),Public,Pune + 161 more,34 years old,10000+ employees,"Consulting, IT / ITES, Analytics / BPM / Research, MNC, Fortune500, Forbes Global 2000, Public, Pune","Tech Mahindra represents the connected world, offering innovative and customer-centric information technology experiences, enabling Enterprises, Associates and the Society to Rise™. We are a USD 4.9 billion company with 125,700+ professionals across 90 countries, helping 941 global customers including Fortune 500 companies. Our convergent, digital, design experiences, innovation platforms and reusable assets connect across a number of technologies to deliver tangible business value and experiences to our stakeholders. Tech Mahindra is the highest ranked Non-U.S. company in the Forbes Global Digital 100 list (2018) and in the Forbes Fab 50 companies in Asia (2018)."
7,HCL Technologies,3.7,(9.5k),Public,"Noida,Uttar Pradesh + 111 more",14 years old,,"Computer Software, Consulting, Financial Services, Consumer Electronics & Appliances, IT Services & Consulting, MNC, Fortune500, Forbes Global 2000, Public","HCL Technologies is a next-generation global technology company that helps enterprises reimagine their businesses for the digital age. Our technology products, services, and engineering are built on four decades of innovation, with a world-renowned management philosophy, a strong culture of invention and risk-taking, and a relentless focus on customer relationships. 

We offer an integrated portfolio of products, solutions, services, and IP through our Mode 1-2-3 strategy, built around Digital, IoT, Cloud, Automation, Cybersecurity, Analytics, Infrastructure Management, and Engineering Services, amongst others. With a worldwide network of R&D, innovation labs, and delivery centers, and 153,085 ‘Ideapreneurs’ working in 50 countries, HCL serves leading enterprises across key industries, including 250 of the Fortune 500 and 650 of the Global 2000."
8,L&T,4.1,(9.4k),Public,Mumbai + 339 more,82 years old,10000+ employees,"Industrial Equipment / Machinery, Manufacturing, Engineering & Construction, Conglomerate, Fortune500, Forbes Global 2000, Public, Mumbai","Larsen & Toubro is a major technology, engineering, construction, manufacturing and financial services conglomerate, with global operations. L&T addresses critical needs in key sectors - Hydrocarbon, Infrastructure, Power, Process Industries and Defence - for customers in over 30 countries around the world.

L&T is engaged in core, high impact sectors of the economy and our integrated capabilities span the entire spectrum of ‘design to deliver’. With 8 decades of a strong, customer focused approach and a continuous quest for world-class quality, we have unmatched expertise across Technology, Engineering, Construction, Infrastructure Projects and Manufacturing, and maintain a leadership in all our major lines of business.

Every aspect of L&T's businesses is characterised by professionalism and high standards of corporate governance. Sustainability is embedded into our long-term strategy for growth."
9,Infosys,3.9,(8.9k),Public,Bangalore + 67 more,39 years old,10000+ employees,"IT / ITES, MNC, Fortune500, Forbes Global 2000, Public","Infosys is a global leader in next-generation digital services and consulting. We enable clients in 45 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through the many nexts of their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise and ideas from our innovation ecosystem."
