,Tot,C,P,G,N,"T
","Incident[nb 1]
","Aircraft
","Location
","Phase
","Airport
","Distance
","Date
"
0,153,3,136,35,3,4,127,150,453,3,0,0,466
1,152,25,110,36,3,4,511,149,453,3,0,0,466
2,110,15,111,0,0,0,374,134,359,12,199,0,249
3,103,7,104,0,0,0,295,145,233,3,0,0,320
4,99,18,90,0,3,0,414,137,183,3,0,0,430
5,98,3,91,0,3,0,484,272,149,3,0,0,212
6,97,14,89,0,3,3,99,140,41,3,0,0,316
7,96,6,88,0,3,0,415,259,345,3,0,0,278
8,95,7,87,0,3,1,333,155,208,3,0,0,528
9,94,8,86,0,3,1,281,3,211,3,0,0,345
10,93,10,84,0,3,5,288,244,208,3,0,0,480
11,92,5,85,10,3,0,128,272,429,10,154,22,265
12,91,8,78,4,3,3,373,134,411,3,0,0,350
13,90,15,79,0,3,2,311,139,321,3,0,0,301
14,89,25,83,20,3,0,131,6,447,3,0,0,469
15,88,7,82,0,0,0,181,7,227,0,145,91,400
16,87,6,80,0,3,0,355,276,342,0,99,46,371
17,86,2,80,0,3,5,114,245,31,5,0,0,543
18,86,13,77,0,3,0,105,273,31,3,0,0,271
19,85,24,81,0,3,0,138,279,80,5,224,41,324
20,84,12,0,13,0,0,77,36,126,5,146,11,419
21,83,4,76,0,3,0,334,155,192,3,0,0,527
22,82,4,75,0,3,0,245,5,203,0,131,64,437
23,81,10,70,0,3,0,459,136,450,3,0,0,425
24,80,6,72,0,3,0,444,286,81,3,0,0,449
25,80,6,72,0,0,0,306,143,426,0,74,70,435
26,79,4,73,0,3,0,95,22,39,3,0,0,511
27,78,11,69,0,3,0,183,138,98,3,0,0,475
28,77,23,74,0,3,3,345,20,260,3,0,0,534
29,76,2,71,0,3,0,320,154,385,3,0,0,370
30,75,7,68,0,3,0,220,153,44,3,0,0,455
31,74,15,66,0,3,0,100,140,188,3,0,0,256
32,73,6,65,27,3,0,184,7,94,0,207,1,445
33,72,25,67,0,3,0,49,320,473,3,0,0,317
34,71,22,64,5,3,0,450,19,72,6,33,0,502
35,70,25,65,0,3,0,342,208,371,3,0,0,221
36,69,24,64,0,3,0,327,94,194,3,0,0,545
37,69,22,113,6,3,4,132,147,463,3,0,0,466
38,69,5,63,0,3,0,164,148,129,3,0,0,420
39,68,23,64,0,3,0,116,51,255,3,0,0,226
40,67,3,60,0,3,0,318,243,291,3,221,84,336
41,67,24,62,0,0,0,260,210,369,0,37,43,259
42,66,11,53,0,0,0,146,142,364,0,124,33,304
43,65,23,61,0,3,0,274,287,148,3,0,0,287
44,64,21,57,17,0,0,31,317,324,6,153,0,309
45,64,5,55,0,3,0,65,314,236,3,0,0,267
46,63,25,56,0,3,1,508,128,148,5,87,0,547
47,63,25,56,0,0,0,443,209,376,0,158,68,352
48,63,6,53,0,3,0,168,233,120,3,0,0,239
49,63,22,59,0,0,0,354,60,268,6,102,0,192
50,62,2,54,0,3,0,21,242,322,0,194,32,187
51,61,2,52,0,3,0,393,321,400,3,0,0,497
52,61,6,50,0,3,3,510,273,264,3,0,0,359
53,60,2,51,0,0,0,303,9,117,3,0,0,456
54,59,4,50,0,3,0,178,321,3,3,0,0,513
55,58,4,49,0,3,0,366,4,261,0,105,48,382
56,58,24,51,0,3,0,347,85,250,3,0,0,326
57,57,2,50,0,3,0,39,320,234,3,0,0,277
58,56,23,49,0,3,0,270,15,193,3,0,0,530
59,56,23,49,0,1,0,122,73,229,3,0,0,169
60,55,24,48,0,3,0,535,288,474,3,0,0,490
61,55,6,42,0,3,0,189,321,100,3,0,0,401
62,54,22,43,25,3,0,204,289,269,0,119,89,524
63,54,24,47,0,0,0,133,147,106,0,35,113,418
64,54,24,47,0,3,5,357,251,269,3,0,0,381
65,54,11,38,0,3,0,425,141,195,3,0,0,341
66,53,22,48,0,0,0,97,132,187,6,94,0,517
67,52,24,45,0,3,0,225,94,146,3,0,0,546
68,52,2,43,0,0,0,322,89,241,0,202,90,386
69,51,22,44,10,1,0,358,285,442,10,57,92,339
70,51,3,41,0,3,0,369,44,346,3,0,0,270
71,51,24,44,0,3,0,277,242,166,3,0,0,184
72,50,23,44,0,3,0,432,172,361,5,199,4,190
73,50,2,129,28,3,0,528,284,476,5,126,15,144
74,50,22,45,0,3,5,495,249,476,5,0,0,139
75,49,22,44,0,0,0,431,288,364,10,124,92,506
